"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"KAZ",7,2012,398.2884240360459062,184578.61124303531930
"KAZ",8,2012,792.6864162183703570,339987.751676084028186
"KAZ",9,2012,72.9145659964952442,21445.0119243245785
"KAZ",10,2012,294.64562319828997436,91080.19649497674524
"KAZ",11,2012,33.3307883149045133,8467.9880663924207
"KAZ",12,2012,112.72992576406456656,28365.0624671902719976
"KAZ",13,2012,59.40474471841796481,19917.679484221370234
"KAZ",14,2012,57.418375511271700,13767.5989720708736
"KAZ",1,2013,6.5341789105967892,2095.9357219996133442
"KAZ",2,2013,1351.6274518150917605,343746.308447739625206
"KAZ",3,2013,2.1704864015950522,716.7588546261362
"KAZ",4,2013,212.6468061780296266,3922.1771492749417655
"KAZ",5,2013,405.29556758278417586,129055.661560879568576
"KAZ",6,2013,10.457408630998266514,1368.33073530422572
"KAZ",7,2013,424.27920858618066998,190878.699308226323584
"KAZ",8,2013,57.66466242844184044,18542.014816985762497
"KAZ",9,2013,0.448735251121961794,137.737420778620461
"KAZ",10,2013,349.08011399128890343,112066.5116579819152454
"KAZ",11,2013,1.493767545431857846,319.057019998435514
"KAZ",12,2013,29.9204760429513901,5932.341499476328825
"KAZ",13,2013,6.50666967209635501,2271.44630055691873
"KAZ",14,2013,5.51334241470269093,1483.936171366067085
"KAZ",1,2014,3.53523307200737857,978.780342810622919
"KAZ",2,2014,86.54781065062065916,33737.599625637218138
"KAZ",3,2014,2.402247087556424,744.919914212384241
"KAZ",4,2014,9.654758489503042,3536.1418039091495
"KAZ",5,2014,185.80861464687064217,67760.70217695628220
"KAZ",6,2014,0.16842530759548613,36.840212174634466
"KAZ",7,2014,188.25742105020838941,89661.031556684561247
"KAZ",8,2014,4.64047032820095576,1563.702094198811771
"KAZ",9,2014,0.25524088502821181,73.871053040013823
"KAZ",10,2014,89.89944925236732959,25079.88911255824350
"KAZ",12,2014,0.96643665253689235,277.0176949929179292
"KAZ",13,2014,1.70502124065104201,568.49667534285354
"KAZ",14,2014,21.874689334179677,4470.227507815244690
"KAZ",2,2015,2.8430855902994795,1136.34754031039057
"KAZ",5,2015,84.80401106408419883,32235.68352124468176
"KAZ",7,2015,82.81721006974172947,42725.606263460885908
"KAZ",8,2015,1.1585296655338540,486.8254389832008
"KAZ",10,2015,9.53945728717013869,3575.146241683788748
"KAZ",1,2016,28.03816972130208888,8913.867220567824916
"KAZ",2,2016,230.02180242400346653,96838.106320932619684
"KAZ",3,2016,1.73561037692708339,607.701683567965311
"KAZ",4,2016,9.92971540406466689,2577.9130426256543
"KAZ",5,2016,471.47925904436411712,185153.79301444322892
"KAZ",6,2016,0.054914649233940974,13.99552742693426
"KAZ",7,2016,141.18135943803600077,59274.413753368001817
"KAZ",8,2016,41.124657751981513172,10568.314231999908252
"KAZ",9,2016,0.25875521484157988,49.74290326990273295
"KAZ",10,2016,262.046952911565218585,84168.520010814286937
"KAZ",11,2016,0.10745030907986111,35.35938668668813
"KAZ",12,2016,1.693408684042968805,507.63199806882035
"KAZ",13,2016,98.100610414769753714,39140.024666694773112
"KAZ",14,2016,2.7779458603993056,1252.4395198698868534
"KAZ",1,2017,67.585648582699598905,21101.273914197983590
"KAZ",2,2017,20.495144892595477318,7698.90798996771498
"KAZ",3,2017,0.2966046717057292,88.19946523675794
"KAZ",4,2017,11.5842943877821232,101.95940736367892
"KAZ",5,2017,130.44694844831813173,47254.035943877697032
"KAZ",6,2017,0.21986863819444447,62.54848318073377
"KAZ",7,2017,308.024954826508018465,152471.4169993464045003
"KAZ",8,2017,7.9881874964626755,2856.852764824140
"KAZ",9,2017,1.01728884785807289,229.548177869566948
"KAZ",10,2017,390.357516523360646036,117942.547181655680397
"KAZ",11,2017,0.16120514818142362,33.49743855988875
"KAZ",12,2017,11.53786825499565783,3381.388983486846321
"KAZ",13,2017,9.26022556853515759,3090.780613337775146
"KAZ",14,2017,16.20122829413628753,4027.7112446833309279
"KAZ",1,2018,1.83270169200520827,466.723795749643449
"KAZ",2,2018,614.17609256218662396,195043.453441810861916
"KAZ",5,2018,189.79912581156902161,75702.466410220991437
"KAZ",6,2018,0.21895125126302087,0.0
"KAZ",7,2018,186.68330166893670967,75629.35445382814738
"KAZ",8,2018,19.26132232178602985,6491.332650854866885
"KAZ",9,2018,0.14974424361111113,45.81416290514878
"KAZ",10,2018,125.84715598271918934,51101.758833082839694
"KAZ",12,2018,0.4589059703124999,123.34130094682398
"KAZ",13,2018,0.2900762363715278,137.35152212763404
"KAZ",14,2018,0.17043711635199654,41.37449100034178
"KAZ",1,2019,13.33018253156249701,3086.288764207737289
"KAZ",2,2019,204.73869897995005027,91129.849462655938655
"KAZ",5,2019,464.7467647787244575,191189.953130220416699
"KAZ",7,2019,318.55030937435112266,125962.08859140682709
"KAZ",8,2019,3.74066796986979141,697.336899287810477
"KAZ",9,2019,8.75366769775174054,1538.799276067979938
"KAZ",10,2019,265.61831558067943914,105269.661641464216466
"KAZ",12,2019,1.02157767963107641,228.29272319965237
"KAZ",13,2019,1.22539939660590275,557.11821521964098
"KAZ",1,2020,14.44041445544053843,2515.29662131227623
"KAZ",2,2020,130.631301058582848955,58280.920580149253420
"KAZ",3,2020,1.14046855984375,411.6779505828603
"KAZ",5,2020,277.00465680306654982,92589.491345325766709
"KAZ",6,2020,12.916927507790810,0.0
"KAZ",7,2020,112.6171570630860703,62265.792561528466355
"KAZ",8,2020,6.55539298949870359,1238.019250556627878
"KAZ",9,2020,1.81153635935329815,365.018814610326962
"KAZ",10,2020,1230.02366365562919767,514870.563376280603585
"KAZ",11,2020,0.9135133004361979,253.39065826598068
"KAZ",13,2020,64.880378364220952054,28064.108402922219560
"KAZ",14,2020,0.3322690582573785,37.836288075398684
"KAZ",1,2021,33.9150144342013910,10584.878505262255946
"KAZ",2,2021,49.62357137960503229,23711.93148982469985
"KAZ",3,2021,0.5456503321354167,236.46756408942275
"KAZ",4,2021,1.59916343475477474,142.43846201074126
"KAZ",5,2021,381.647358753227268365,135801.845055904921903
"KAZ",7,2021,64.62746457459634056,34445.73048870567464
"KAZ",8,2021,2.03310234487847226,395.97795819473567
"KAZ",10,2021,174.83173792236987895,72645.29863827114752
"KAZ",11,2021,0.5364374469010417,127.47836954024399
"KAZ",12,2021,3.3458504772808142,748.96785230699303
"KAZ",13,2021,5.533583460468749625,2161.633783070056797
"KAZ",14,2021,0.17012784658203126,33.01511685229843
"KAZ",1,2022,313.9391194525089163,87295.9569746437115739
"KAZ",2,2022,173.89100734262815668,84942.92346352303636
"KAZ",3,2022,3.21446996774305562,978.076489311917334
"KAZ",4,2022,0.213873668674045125,0.0
"KAZ",5,2022,479.2931550551871056,148793.5613734488409714
"KAZ",7,2022,469.98554247527566332,254482.072674369312176
"KAZ",8,2022,2.6754457111154516,552.00541061509513
"KAZ",9,2022,7.351181835423173,1456.4384909970041486
"KAZ",10,2022,2044.09299466011872773,531105.373433995979635
"KAZ",13,2022,106.814521975683627,31402.9455262122985
"KAZ",14,2022,27.62387454131286378,7401.694404262359126
